date,capital_payment,interest,insurance,remaining_balance
2023-09-04,389.9,13.17,9.5,18610.1
2023-10-04,389.26,13.81,9.5,18220.84
2023-11-04,389.55,13.52,9.5,17831.29
2023-12-04,389.84,13.23,9.5,17441.45
2024-01-04,390.13,12.94,9.5,17051.32
2024-02-04,390.42,12.65,9.5,16660.9
2024-03-04,390.71,12.36,9.5,16270.19
2024-04-04,391.0,12.07,9.5,15879.19
2024-05-04,391.29,11.78,9.5,15487.9
2024-06-04,391.58,11.49,9.5,15096.32
2024-07-04,391.87,11.2,9.5,14704.45
2024-08-04,392.15999999999997,10.91,9.5,14312.29
2024-09-04,392.45,10.62,9.5,13919.84
2024-10-04,392.74,10.33,9.5,13527.1
2024-11-04,393.03,10.04,9.5,13134.07
2024-12-04,393.33,9.74,9.5,12740.74
2025-01-04,393.62,9.45,9.5,12347.12
2025-02-04,393.90999999999997,9.16,9.5,11953.21
2025-03-04,394.2,8.87,9.5,11559.01
2025-04-04,394.49,8.58,9.5,11164.52
2025-05-04,394.79,8.28,9.5,10769.73
2025-06-04,395.08,7.99,9.5,10374.65
2025-07-04,395.37,7.7,9.5,9979.28
2025-08-04,395.67,7.4,9.5,9583.61
2025-09-04,395.96,7.11,9.5,9187.65
2025-10-04,396.25,6.82,9.5,8791.4
2025-11-04,396.55,6.52,9.5,8394.85
2025-12-04,396.84,6.23,9.5,7998.01
2026-01-04,397.14,5.93,9.5,7600.87
2026-02-04,397.43,5.64,9.5,7203.44
2026-03-04,397.73,5.34,9.5,6805.71
2026-04-04,398.02,5.05,9.5,6407.69
2026-05-04,398.32,4.75,9.5,6009.37
2026-06-04,398.61,4.46,9.5,5610.76
2026-07-04,398.90999999999997,4.16,9.5,5211.85
2026-08-04,399.2,3.87,9.5,4812.65
2026-09-04,399.5,3.57,9.5,4413.15
2026-10-04,399.8,3.27,9.5,4013.35
2026-11-04,400.09,2.98,9.5,3613.26
2026-12-04,400.39,2.68,9.5,3212.87
2027-01-04,400.69,2.38,9.5,2812.18
2027-02-04,400.98,2.09,9.5,2411.2
2027-03-04,401.28,1.79,9.5,2009.92
2027-04-04,401.58,1.49,9.5,1608.34
2027-05-04,401.88,1.19,9.5,1206.46
2027-06-04,402.18,0.89,9.5,804.28
2027-07-04,402.46999999999997,0.6,9.5,401.81
2027-08-04,401.81,1.26,9.5,-0.0
